ISSN,E-ISSN,Başlık
"2147-8376","2149-7966","UYUŞMAZLIK MAHKEMESİ DERGİSİ"
"1305-4252",,"Uzmanlık Sonrası Eğitim ve Güncel Gelişmeler Dergisi"
"1300-1469",,"Üçüncü Sektör Kooperatifçilik"
"2148-1237","2587-0114","Üçüncü Sektör Sosyal Ekonomi"
,"2636-7459","Üniversite Araştırmaları Dergisi (Online)"
"1300-0470",,"Üroloji Bülteni"
"2147-2122","2147-2270","Üroonkoloji Bülteni"
"2636-7955","2636-8242","Üsküdar Üniversitesi İletişim Fakültesi Akademik Dergisi Etkileşim"
"2459-0223","2717-7769","Üsküdar Üniversitesi Sosyal Bilimler Dergisi"
"2149-9535","2636-7777","Vakanüvis Uluslararası Tarih Araştırmaları Dergisi (Online)"
"1011-7474","2564-6796","Vakıflar Dergisi"
,"2667-615X","Van ilahiyat Dergisi"
"1300-2694","2587-0351","Van Tıp Dergisi"
,"2149-8644","Van Veterinary Journal"
,"1305-2020","Van Yüzüncü Yıl Üniversitesi Eğitim Fakültesi Dergisi"
"1300-851X",,"Vergi Dünyası Dergisi"
"1303-6920",,"Vergi Raporu"
"1300-8951","1300-8951","Vergi Sorunları Dergisi"
"1013-1388","2757-6973","Verimlilik Dergisi"
"1301-9988",,"Veterinarium"
,"2822-3608","Veterinary sciences and practices (Online)"
"1011-2057",,"Veteriner Bilimleri Dergisi . Eurasian Journal of Veterinary Sciences"
"1300-7106",,"Veteriner Cerrahi Dergisi"
,"2667-8381","Veteriner farmakoloji ve toksikoloji derneği bülteni (Online)"
"0377-6395","2651-4214","Veteriner Hekimler Derneği Dergisi"
,"2147-2939","Viral Hepatitis Journal"
,"2149-3081","ViraVerita: Disiplinlerarası Karşılaşmalar Hakemli E-Dergi"
,"3023-8765","Wheat studies"
,"2459-0126","World Journal of Applied Economics"
"2148-6026","2687-4121","Yakın Doğu Üniversitesi İlahiyat Fakültesi dergisi (Online)"
,"2687-4148","Yakın Doğu Üniversitesi İslam Tetkikleri  Merkezi dergisi (Online)"
"1986-1303","2235-3186","Yakın Doğu Üniversitesi Sosyal Bilimler Dergisi"
,"2547-9679","Yakın Dönem Türkiye Araştırmaları"
"1300-3437",,"Yapı"
"1305-8177","2459-167X","Yaratıcı Drama Dergisi"
"1300-0209",,"Yargıtay Dergisi"
"1306-6250",,"YASAMA DERGİSİ"
"1300-1272","2667-4874","Yaşadıkça Eğitim Dergisi"
"1307-9840",,"YEDİ: SANAT, TASARIM VE BİLİM DERGİSİ"
,"3062-1127","Yeditepe Üniversitesi Hukuk Fakültesi Dergisi"
,"2587-1285","Yeni Medya (Online)"
"1300-2317",,"Yeni Tıp Dergisi"
,"2548-0472","Yeni Türk Edebiyatı Araştırmaları"
"1309-565X",,"Yeni Türk Edebiyatı: Hakemli Altı Aylık İnceleme Dergisi"
,"2687-1955","Yeni Üroloji Dergisi"
"1301-2894",,"Yerbilimleri"
,"2791-8971","Yıldırım Beyazıt Hukuk Dergisi"
"2687-5012","2687-5691","YILLIK: Annual of Istanbul Studies"
"1303-4979",,"Yönetim Araştırmaları Dergisi"
,"2147-9771","Yönetim Bilimleri Dergisi"
"1302-4221",,"Yönetim Dergisi:İstanbul Üniversitesi İşletme Fakültesi İşletme İktisadı Enstitüsü"
,"2651-4036","Yönetim ve Çalışma (Online)"
,"2148-029X","Yönetim ve Ekonomi Araştırmaları Dergisi"
"1302-0064","2458-8253","Yönetim ve Ekonomi: Celal Bayar Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"2667-8365","Yönetim ve Organizasyon Araştırmaları Dergisi (Online)"
"1300-0020",,"Yöneylem Araştırması Dergisi"
"1303-4456",,"Yunus Araştırma Bülteni"
"2146-796X","2146-7978","Yükseköğretim Dergisi"
"2146-5959","2146-5967","Yükseköğretim ve Bilim Dergisi"
"1300-5413","2667-467X","Yüzüncü Yıl Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
"1018-3701",,"Yüzüncü Yıl Üniversitesi Fen Edebiyat Fakültesi Fen Bilimleri Dergisi"
,"2822-3136","Yüzüncü Yıl Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"1308-7576","1308-7584","Yüzüncü Yıl Üniversitesi Tarım Bilimleri Dergisi"
"1017-8422","1308-3651","Yüzüncü Yıl Üniversitesi Veteriner Fakültesi Dergisi"
"1018-9424",,"Yüzüncü Yıl Üniversitesi Ziraat Fakültesi Tarım Bilimleri Dergisi"
,"2651-3927","Zeki sistemler teori ve uygulamaları dergisi (Online)"
"2757-7473",,"Zemin: Edebiyat dil ve kültür araştırmaları"
,"2757-8062","Zeynep Kamil medical journal (Online)"
"1300-7971","2148-4864","Zeynep Kamil Tıp Bülteni"
,"2651-4494","Ziraat Mühendisliği"
"1303-9245",,"Zonguldak Karaelmas Üniversitesi Sosyal Bilimler Dergisi"
"1305-5674",,"Zonguldak Sağlık Yüksekokulu Sağlık Eğitim Araştırma Derg."
